# SN 1987A bolometric light curve
# Source: Suntzeff & Bouchet (1990, AJ 99, 650), Table II
# Columns: days_since_outburst  log10(L) [erg/s, U to M integration]
#
1.14    41.687
1.51    41.582
1.85    41.493
2.70    41.373
3.65    41.294
4.70    41.245
5.64    41.219
6.82    41.211
7.81    41.206
8.79    41.215
9.80    41.225
10.79   41.237
13.80   41.278
14.82   41.293
15.81   41.304
16.83   41.319
19.73   41.357
20.77   41.368
23.77   41.412
24.75   41.424
25.75   41.436
26.76   41.446
30.77   41.491
31.76   41.500
32.75   41.512
33.77   41.523
34.76   41.531
35.79   41.543
36.79   41.555
37.76   41.570
39.73   41.594
41.71   41.616
42.71   41.626
43.70   41.639
44.72   41.654
45.70   41.663
46.73   41.674
47.69   41.685
51.70   41.725
52.68   41.732
53.74   41.742
54.70   41.751
58.67   41.782
59.72   41.790
62.68   41.805
63.67   41.819
68.69   41.847
69.67   41.847
70.68   41.857
73.68   41.866
74.67   41.872
75.68   41.876
76.68   41.878
79.67   41.885
80.67   41.887
81.71   41.886
85.72   41.888
86.65   41.889
87.67   41.887
89.68   41.889
93.66   41.876
95.65   41.869
98.67   41.855
101.64  41.832
102.63  41.824
103.70  41.817
104.67  41.800
106.65  41.775
107.65  41.761
108.65  41.744
109.66  41.724
110.67  41.710
111.66  41.694
113.67  41.652
114.65  41.637
115.65  41.618
116.66  41.603
117.65  41.589
118.65  41.574
119.65  41.561
121.67  41.540
122.65  41.534
123.65  41.526
125.66  41.514
128.67  41.501
129.65  41.497
130.65  41.492
131.65  41.489
132.10  41.488
157.09  41.378
158.06  41.378
159.08  41.370
160.06  41.367
164.09  41.349
175.09  41.301
177.07  41.298
188.07  41.248
192.06  41.231
195.02  41.221
198.03  41.204
200.97  41.193
204.96  41.177
214.98  41.135
237.99  41.041
239.91  41.028
245.94  41.009
247.00  41.004
253.93  40.970
256.98  40.958
260.82  40.941
267.88  40.912
271.96  40.900
273.94  40.886
280.92  40.861
285.88  40.837
293.00  40.803
295.86  40.792
297.83  40.788
301.85  40.765
308.83  40.734
316.79  40.702
321.80  40.686
328.79  40.650
330.78  40.644
337.77  40.609
339.81  40.602
344.81  40.578
345.83  40.573
348.78  40.563
355.77  40.529
361.80  40.503
368.74  40.476
371.72  40.461
377.75  40.434
381.73  40.417
386.72  40.392
390.74  40.370
393.79  40.360
395.73  40.350
399.69  40.337
401.71  40.327
408.73  40.294
415.69  40.261
418.70  40.246
421.72  40.231
426.69  40.208
436.70  40.162
439.69  40.148
455.67  40.085
518.06  39.786
526.07  39.742
615.91  39.302
634.80  39.262
639.93  39.206
667.85  39.169
689.70  39.013
701.85  38.925
728.76  38.909
770.70  38.626
812.66  38.378
903.12  38.018
